property_id, location_zip, seating_type, clue_small_area, trading_name, x_coordinate, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address
"105956",null,"Seats - Indoor","Melbourne (CBD)","STREAT","144.9617411",null,null,"30",41278,"Cafes and Restaurants","-37.81560573","2017","384-390 Little Collins Street"
"107987",null,"Seats - Outdoor","North Melbourne","Bela Bistro","144.9487134",null,null,"8",41282,"Cafes and Restaurants","-37.80271962","2017","562-564 Queensberry Street"
"108154",null,"Seats - Indoor","Carlton","Epocha Restaurant","144.9685944",null,null,"100",41304,"Cafes and Restaurants","-37.80578725","2017","49 Rathdowne Street"
"105481",null,"Seats - Indoor","Melbourne (CBD)","The Basement Cafe","144.9592776",null,null,"35",41307,"Cafes and Restaurants","-37.81067976","2017","348-358 La Trobe Street"
"103225",null,"Seats - Outdoor","Melbourne (CBD)","Rose Garden Barbecue Shop","144.9603439",null,null,"24",41315,"Cafes and Restaurants","-37.80885861","2017","433-435 Elizabeth Street"
"105486",null,"Seats - Indoor","Melbourne (CBD)","By Korea ","144.9628763",null,null,"44",41330,"Cafes and Restaurants","-37.80962882","2017","212-222 La Trobe Street"
"103925",null,"Seats - Indoor","Melbourne (CBD)","Sake Restaurant and Bar","144.9705132",null,null,"125",41334,"Cafes and Restaurants","-37.81567009","2017","121-123 Flinders Lane"
"561680",null,"Seats - Indoor","Melbourne (CBD)","Cafe 555","144.9528962",null,null,"60",41341,"Cafes and Restaurants","-37.81327283","2017","555 La Trobe Street"
"101117",null,"Seats - Outdoor","Melbourne (CBD)","Panini Bar","144.9709029",null,null,"4",41380,"Takeaway Food Services","-37.812234","2017","87-91 Bourke Street"
"103523",null,"Seats - Indoor","North Melbourne","The Comics Lounge","144.949918",null,null,"390",41389,"Clubs (Hospitality)","-37.80459297","2017","20-26 Errol Street"
"108111",null,"Seats - Indoor","Melbourne (CBD)","CoF.E.Fix","144.9612988",null,null,"32",41410,"Cafes and Restaurants","-37.81565401","2017","118-126 Queen Street"
